winner,loser,replica,exhibition,draw,location,league,round,year,date,date
Blon,Mr Ego,SIN RÉPLICA,FALSE,FALSE,"Barcelona, España",FMS Espana,1,2017-2018,"Domingo, 30 de Abril de 2017",30/04/2017
Zasko,Arkano,SIN RÉPLICA,FALSE,FALSE,"Barcelona, España",FMS Espana,1,2017-2018,"Domingo, 30 de Abril de 2017",30/04/2017
Skone,BTA,SIN RÉPLICA,FALSE,FALSE,"Barcelona, España",FMS Espana,1,2017-2018,"Domingo, 30 de Abril de 2017",30/04/2017
Chuty,Errecé,1 RÉPLICA,FALSE,FALSE,"Barcelona, España",FMS Espana,1,2017-2018,"Domingo, 30 de Abril de 2017",30/04/2017
Hander,Invert,1 RÉPLICA,FALSE,FALSE,"Barcelona, España",FMS Espana,1,2017-2018,"Domingo, 30 de Abril de 2017",30/04/2017
Chuty,BTA,SIN RÉPLICA,FALSE,FALSE,"Alicante, España",FMS Espana,2,2017-2018,"Sábado, 03 de Junio de 2017",03/06/2017
Mr Ego,Errecé,1 RÉPLICA,FALSE,FALSE,"Alicante, España",FMS Espana,2,2017-2018,"Sábado, 03 de Junio de 2017",03/06/2017
Arkano,Skone,SIN RÉPLICA,FALSE,FALSE,"Alicante, España",FMS Espana,2,2017-2018,"Sábado, 03 de Junio de 2017",03/06/2017
Zasko,Hander,SIN RÉPLICA,FALSE,FALSE,"Alicante, España",FMS Espana,2,2017-2018,"Sábado, 03 de Junio de 2017",03/06/2017
Invert,Blon,SIN RÉPLICA,FALSE,FALSE,"Alicante, España",FMS Espana,2,2017-2018,"Sábado, 03 de Junio de 2017",03/06/2017
Chuty,Arkano,SIN RÉPLICA,FALSE,FALSE,"Málaga, España",FMS Espana,3,2017-2018,"Sábado, 24 de Junio de 2017",24/06/2017
BTA,Mr Ego,SIN RÉPLICA,FALSE,FALSE,"Málaga, España",FMS Espana,3,2017-2018,"Sábado, 24 de Junio de 2017",24/06/2017
Blon,Zasko,SIN RÉPLICA,FALSE,FALSE,"Málaga, España",FMS Espana,3,2017-2018,"Sábado, 24 de Junio de 2017",24/06/2017
Errecé,Invert,SIN RÉPLICA,FALSE,FALSE,"Málaga, España",FMS Espana,3,2017-2018,"Sábado, 24 de Junio de 2017",24/06/2017
